Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
C8-pos_Cluster_2152,10.987528,880.722641,#N/A,"1-alkyl,2-acylglycero-3-phosphocholines",#N/A,#N/A
C8-pos_Cluster_2157,12.771088,881.767957,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2159,10.980387,882.733607,#N/A,"1-alkyl,2-acylglycero-3-phosphocholines",#N/A,#N/A
C8-pos_Cluster_2160,11.204521,882.740631,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2164,8.846894,885.551259,#N/A,Phosphatidylinositols,#N/A,#N/A
C8-pos_Cluster_2167,11.539868,885.673341,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2172,4.749008,887.536002,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2174,10.981207,887.688548,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2175,11.249579,887.697590,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2177,10.758687,888.764326,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2179,12.161330,888.689562,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2180,12.403116,888.694499,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2181,10.670225,890.723370,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2182,10.100748,891.705610,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2183,10.548738,891.730939,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2184,11.291599,891.688624,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2186,11.714410,891.742269,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2189,10.329063,893.721072,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2190,10.751539,893.724988,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2195,9.651597,894.701163,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2196,10.554035,895.717427,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2199,12.223135,895.770898,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2200,9.764948,896.716379,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2203,11.084397,897.702158,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2206,12.106550,897.761840,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2208,9.802812,898.730086,#N/A,Phosphatidylcholines,#N/A,#N/A
C8-pos_Cluster_2209,10.463889,899.653618,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2212,7.632475,900.602429,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2213,9.968059,901.669554,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2214,10.266980,901.665423,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2216,12.614772,901.786603,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2217,7.819207,902.618665,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2219,10.981387,903.663774,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2221,11.959234,903.750928,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2223,9.805999,903.683424,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2224,10.783208,904.688059,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2228,11.016800,906.258649,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2229,9.926695,906.714256,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2230,10.754140,906.698643,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2231,10.912933,906.748151,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2234,9.772231,908.238001,#N/A,"2,3,4-saturated fatty acyl CoAs",#N/A,#N/A
C8-pos_Cluster_2236,11.014093,909.257461,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2238,9.043098,909.551211,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2241,10.412714,910.749776,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2244,11.635201,912.801448,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2245,9.723131,913.690515,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2247,13.017079,913.819994,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2249,12.463275,914.702812,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2250,11.886007,914.816040,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2251,8.229336,915.601698,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2253,9.948105,915.707520,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2254,7.081500,915.740825,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2256,14.243459,915.765075,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2257,14.244078,916.263292,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2258,10.189897,917.708526,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2259,10.460124,917.714441,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2260,10.605177,917.730167,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2262,13.561285,917.803007,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2263,7.398514,918.612632,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2264,11.271767,918.809125,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2265,4.360482,919.525207,#N/A,Glycerophosphoinositol phosphates,#N/A,#N/A
C8-pos_Cluster_2266,5.476949,919.626191,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2267,9.745259,919.679081,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2268,10.419719,919.737623,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2269,10.855711,919.747286,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2273,10.685737,921.753242,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2274,11.102999,921.756296,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2275,11.211462,921.763345,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2278,11.483338,922.786919,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2280,10.820777,923.769556,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2281,11.013711,923.744900,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2282,11.262942,923.770715,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2283,12.152238,923.746086,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2285,9.024439,924.269919,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2287,11.005416,925.780588,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2288,11.259774,925.766013,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2289,12.407014,925.763895,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2290,12.609131,925.809029,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2295,12.684693,927.780793,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2296,12.769495,927.819311,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2298,5.277071,929.654306,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2301,11.850174,929.768192,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2302,13.012815,929.796944,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2305,12.487593,932.854732,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2309,5.669459,935.701118,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2310,6.127026,935.730974,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2312,7.816073,937.587053,#N/A,Glycosyldiacylglycerols,#N/A,#N/A
C8-pos_Cluster_2314,9.779640,938.284040,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2316,8.111863,939.601942,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2317,10.773898,939.765967,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2318,11.634901,939.813141,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2320,5.142120,940.558476,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2322,12.422843,940.718818,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2323,8.427597,941.616151,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2324,6.142714,941.748274,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2325,13.509866,941.850393,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2327,11.537726,945.712967,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2329,4.627475,946.773020,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2330,11.969337,947.748440,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2331,12.039771,949.742147,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2332,12.232512,949.764184,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2333,12.698601,949.820219,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2335,12.498241,951.779121,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2336,13.000420,951.834940,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2337,12.064035,952.830730,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2339,12.791591,954.798816,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2340,11.578412,955.760728,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2342,14.046093,955.844360,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2344,12.606863,956.863429,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2346,10.820351,958.713419,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2347,7.319968,959.571808,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2348,12.317289,959.805737,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2352,13.575829,962.909605,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2353,7.935054,963.601581,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2355,8.265228,965.616687,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2356,13.223008,965.850776,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2357,8.579475,967.632771,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2358,4.628796,967.749666,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2359,13.578464,967.865129,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2364,11.886941,973.745426,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2366,12.146437,975.761492,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2367,12.668131,975.870122,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2369,13.120381,977.850806,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2370,12.897717,979.808288,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2371,13.454939,979.866037,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2372,11.537729,980.277655,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2373,8.852201,980.725263,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2374,13.220043,981.824531,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2375,10.271722,982.255783,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2376,11.537759,982.276190,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2379,9.054955,984.696222,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2380,9.192555,986.712020,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2381,5.477126,987.613904,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2382,12.675111,987.835267,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2383,13.329703,987.913388,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2384,5.125087,989.564323,#N/A,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_2385,13.013039,989.850777,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2386,13.257399,989.841642,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2387,13.227988,990.282550,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2388,13.231515,990.778714,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2391,13.335089,991.866111,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2393,9.601168,992.761065,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2394,5.478336,993.630543,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2395,13.693467,993.881183,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2397,13.506507,995.893195,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2398,14.189787,995.896528,#N/A,Triacylglycerols,#N/A,#N/A
C8-pos_Cluster_2402,9.508635,998.288037,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2403,9.507849,1001.287364,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2404,8.854807,1002.705984,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2405,5.669661,1003.689060,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2406,9.275575,1008.755203,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2407,6.131252,1009.737462,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2408,13.691644,1009.853625,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2410,13.618070,1011.790431,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2411,10.265070,1012.303329,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2412,9.465815,1012.727702,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2413,9.602427,1014.743323,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2414,5.172759,1015.580356,#N/A,Triterpenoids,#N/A,#N/A
C8-pos_Cluster_2416,13.483508,1017.880895,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2417,6.104521,1019.734875,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2419,13.853025,1019.896523,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2420,11.337485,1027.815213,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2421,8.911093,1028.721567,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2422,9.273970,1030.735532,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2423,10.292711,1036.001930,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2424,5.118917,1039.580585,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2425,12.066604,1054.296680,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2426,10.752400,1056.274578,#N/A,Flavonoids,#N/A,#N/A
C8-pos_Cluster_2427,12.065480,1058.293958,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2428,14.257204,1061.938924,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2431,12.226644,1070.838251,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2432,5.669697,1071.677311,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2433,9.960119,1072.306424,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2434,6.132703,1077.724173,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2435,5.662844,1084.811478,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2436,10.732435,1086.321239,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_2439,12.601867,1098.871195,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0001,1.636774,71.013721,#N/A,Carbonyl compounds,#N/A,#N/A
HILIC-neg_Cluster_0002,2.157438,71.013698,#N/A,Acrylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0004,7.267384,73.029315,#N/A,Carboxylic acid derivatives,#N/A,#N/A
HILIC-neg_Cluster_0005,7.488923,73.029391,#N/A,Carboxylic acids,#N/A,#N/A
HILIC-neg_Cluster_0006,2.156815,85.029295,#N/A,Straight chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0007,9.824094,85.029402,#N/A,Gamma butyrolactones,#N/A,#N/A
HILIC-neg_Cluster_0008,2.151624,87.008767,#N/A,"1,3-dicarbonyl compounds",#N/A,#N/A
HILIC-neg_Cluster_0009,3.757242,87.008523,#N/A,"1,3-dicarbonyl compounds",#N/A,#N/A
HILIC-neg_Cluster_0010,9.411128,87.008582,#N/A,Alpha-keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0012,7.495453,87.045057,#N/A,Carboxylic acid derivatives,#N/A,#N/A
HILIC-neg_Cluster_0014,5.346277,88.040330,#N/A,Carboximidic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0017,7.325449,89.024369,#N/A,Hydroxy acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0018,1.638670,89.024315,#N/A,Hydroxy acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0019,2.157820,89.024343,#N/A,Carboxylic acids,#N/A,#N/A
HILIC-neg_Cluster_0021,3.978578,91.055228,#N/A,Toluenes,#N/A,#N/A
HILIC-neg_Cluster_0022,5.161139,93.045687,#N/A,Pyrazines,#N/A,#N/A
HILIC-neg_Cluster_0023,2.157924,95.013777,#N/A,Dihydrofurans,#N/A,#N/A
HILIC-neg_Cluster_0024,7.266834,99.008782,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0025,7.129284,99.045006,#N/A,Gamma butyrolactones,#N/A,#N/A
HILIC-neg_Cluster_0026,7.377668,99.045090,#N/A,Gamma butyrolactones,#N/A,#N/A
HILIC-neg_Cluster_0027,1.749822,100.040372,#N/A,Alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0028,1.749505,101.024339,#N/A,Short-chain keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0029,2.151508,101.024308,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0031,5.320879,102.055979,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0037,4.516916,107.037533,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0038,4.748225,107.050043,#N/A,Phenol ethers,#N/A,#N/A
HILIC-neg_Cluster_0039,4.521258,108.045434,#N/A,Aryl-aldehydes,#N/A,#N/A
HILIC-neg_Cluster_0042,4.789103,110.024621,#N/A,Aryl alkyl ketones,#N/A,#N/A
HILIC-neg_Cluster_0044,8.415381,110.975543,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0045,7.696805,110.985177,#N/A,Organic phosphoric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0046,7.173057,111.008697,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0047,9.408774,111.008676,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0048,4.709118,111.019933,#N/A,Azoles,#N/A,#N/A
HILIC-neg_Cluster_0051,1.588377,113.024167,#N/A,Dihydrofurans,#N/A,#N/A
HILIC-neg_Cluster_0052,2.157348,113.024308,#N/A,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0054,4.989606,113.024391,#N/A,Dihydrofurans,#N/A,#N/A
HILIC-neg_Cluster_0055,5.130634,113.024276,#N/A,Dihydrofurans,#N/A,#N/A
HILIC-neg_Cluster_0056,5.454615,113.024328,#N/A,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0058,6.629467,114.056036,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0060,5.346479,115.003570,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0067,3.605233,116.071691,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0068,3.806995,116.071636,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0072,3.619942,118.029745,#N/A,Benzene and substituted derivatives,#N/A,#N/A
HILIC-neg_Cluster_0074,2.155832,119.034832,#N/A,Hydroxy acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0075,1.762953,119.034861,#N/A,Monosaccharides,#N/A,#N/A
HILIC-neg_Cluster_0076,4.546298,119.050132,#N/A,Fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_0077,4.182047,121.029423,#N/A,Benzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0078,4.745596,121.029397,#N/A,Benzoic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0080,8.199014,121.029284,#N/A,Benzaldehydes,#N/A,#N/A
HILIC-neg_Cluster_0081,4.546263,121.065808,#N/A,Phenols,#N/A,#N/A
HILIC-neg_Cluster_0083,5.869769,123.045156,#N/A,Benzyl alcohols,#N/A,#N/A
HILIC-neg_Cluster_0086,1.936602,124.040189,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0088,4.091020,126.019471,#N/A,Pyrroles,#N/A,#N/A
HILIC-neg_Cluster_0091,5.328049,128.035375,#N/A,Azolidines,#N/A,#N/A
HILIC-neg_Cluster_0092,3.094543,128.035119,#N/A,Alpha amino acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0093,3.692877,128.035259,#N/A,Alpha amino acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0094,4.092491,128.035297,#N/A,Azolidines,#N/A,#N/A
HILIC-neg_Cluster_0095,2.098707,128.071468,#N/A,Alpha-hydrogen aldehydes,#N/A,#N/A
HILIC-neg_Cluster_0097,7.202913,129.019273,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0098,7.573118,129.019133,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0099,9.824243,129.019310,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0100,4.904291,129.055623,#N/A,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0101,3.468387,129.055705,#N/A,Gamma butyrolactones,#N/A,#N/A
HILIC-neg_Cluster_0104,7.098716,130.050710,#N/A,Proline and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0106,1.638194,131.034776,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0107,1.773517,131.034737,#N/A,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0108,2.153884,131.034768,#N/A,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0109,4.990347,131.034834,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0110,9.503759,131.034749,#N/A,Dicarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0115,4.975535,131.082495,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0116,3.642329,131.082365,#N/A,Alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0119,3.809591,133.050383,#N/A,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0121,7.324451,135.018199,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0124,1.590782,135.045034,#N/A,Benzyloxycarbonyls,#N/A,#N/A
HILIC-neg_Cluster_0126,4.400063,136.040079,#N/A,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0128,5.466623,137.024261,#N/A,Benzaldehydes,#N/A,#N/A
HILIC-neg_Cluster_0130,4.330122,137.035486,#N/A,Imidazoles,#N/A,#N/A
HILIC-neg_Cluster_0131,5.160922,137.035387,#N/A,Azoles,#N/A,#N/A
HILIC-neg_Cluster_0132,5.459013,137.060658,#N/A,Phenol ethers,#N/A,#N/A
HILIC-neg_Cluster_0136,7.559556,138.970520,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0137,3.861327,139.006817,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0139,4.619036,139.051119,#N/A,Azoles,#N/A,#N/A
HILIC-neg_Cluster_0140,1.762676,140.035243,#N/A,Alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0141,4.134997,140.082715,#N/A,Organonitrogen compounds,#N/A,#N/A
HILIC-neg_Cluster_0143,1.113397,141.017168,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0144,1.898089,141.016673,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0145,2.402503,141.016950,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0146,3.094650,141.016859,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0149,4.149282,142.050707,#N/A,Azolidines,#N/A,#N/A
HILIC-neg_Cluster_0150,1.755441,142.050830,#N/A,N-acyl-alpha amino acids,#N/A,#N/A
HILIC-neg_Cluster_0151,1.487545,142.061916,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0152,14.460906,143.008141,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0153,2.153895,143.034830,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_0154,1.405110,143.046051,#N/A,Proline and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0155,4.236053,143.071235,#N/A,Gamma-keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0157,4.091297,144.029767,#N/A,Keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0158,1.236347,144.045384,#N/A,Indoles,#N/A,#N/A
HILIC-neg_Cluster_0160,8.452888,145.014046,#N/A,Gamma-keto acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0163,4.175272,145.061612,#N/A,L-alpha-amino acids,#N/A,#N/A
HILIC-neg_Cluster_0164,5.014007,145.098111,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_0165,4.161734,146.045669,#N/A,Glutamic acid and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0167,3.023135,146.082054,#N/A,Oxazinanes,#N/A,#N/A
HILIC-neg_Cluster_0168,7.043005,147.029788,#N/A,Hydroxy fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0171,3.236997,147.044952,#N/A,Cinnamaldehydes,#N/A,#N/A
HILIC-neg_Cluster_0172,3.706731,147.066083,#N/A,Carboxylic acids,#N/A,#N/A
HILIC-neg_Cluster_0175,3.801956,149.027529,#N/A,Thia fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0178,2.167342,149.045334,#N/A,Pentoses,#N/A,#N/A
HILIC-neg_Cluster_0179,4.179069,149.045247,#N/A,Pentoses,#N/A,#N/A
HILIC-neg_Cluster_0180,4.357352,149.045264,#N/A,Pentoses,#N/A,#N/A
HILIC-neg_Cluster_0183,2.806616,150.041908,#N/A,Imidazopyrimidines,#N/A,#N/A
HILIC-neg_Cluster_0184,4.806075,150.055761,#N/A,1-hydroxy-2-unsubstituted benzenoids,#N/A,#N/A
HILIC-neg_Cluster_0185,1.290462,150.055753,#N/A,1-hydroxy-2-unsubstituted benzenoids,#N/A,#N/A
HILIC-neg_Cluster_0186,4.256251,150.055749,#N/A,Aminobenzoic acids,#N/A,#N/A
HILIC-neg_Cluster_0188,2.266878,151.039870,#N/A,Phenols,#N/A,#N/A
HILIC-neg_Cluster_0189,3.017968,151.039764,#N/A,Phenol esters,#N/A,#N/A
HILIC-neg_Cluster_0190,4.760933,151.039841,#N/A,Phenol esters,#N/A,#N/A
HILIC-neg_Cluster_0191,1.478822,151.039700,#N/A,Phenol esters,#N/A,#N/A
